Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Measure,Inception,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,YTD,,,,,,,,,,,,
,,Measure,Year,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial,2013,82186,141258,124814,53677,148195,94101,54703,12720,36075,15513,110207,98352,971801,,82186,,,,,,,,,,,,
,,operations,2014,148821,95165,20333,56572,62302,118164,1757,70188,63763,6544,91348,137579,872536,,148821,,,,,,,,,,,,
,,operations,2015,37900,66736,52,45067,74211,56211,22691,16119,110232,22991,13399,49821,515430,,37900,,,,,,,,,,,,
,,operations,2016,19225,133015,39467,110915,146306,143431,34337,143967,131751,84272,27771,5894,1020351,,19225,,,,,,,,,,,,
,,operations,2017,51819,96888,26692,83323,42994,111099,82668,147710,131419,139885,132751,133519,1180767,,51819,,,,,,,,,,,,
,,operations,2018,87227,78182,51731,67723,17334,1240,40868,97546,15535,127503,81595,141317,807801,,87227,,,,,,,,,,,,
,,operations,2019,110588,126152,148222,141763,22744,47202,67672,103035,42131,24726,83434,108440,1026109,,110588,,,,,,,,,,,,
,,operations,2020,73623,11339,59613,61672,10198,131549,119841,31708,135785,78324,81192,9751,804595,,73623,,,,,,,,,,,,
,,operations,2021,12788,134666,81180,40653,58962,60176,28556,96891,48152,85885,116907,32021,796837,,12788,,,,,,,,,,,,
,,operations,2022,140109,118986,141806,56287,29702,90461,108699,106293,106150,40849,72441,40675,1052458,,140109,,,,,,,,,,,,
,,operations,2023,103089,15035,79501,35281,33832,143867,28731,97636,53235,146810,79395,107660,924072,,103089,,,,,,,,,,,,
,,operations,2024,51106,132424,52909,48287,2197,101768,59457,139395,55068,26653,22116,114341,805721,,51106,,,,,,,,,,,,
,,operations,2025,87029,104503,55016,65210,44179,56541,81508,47479,14014,111337,80638,139454,886908,,87029,,,,,,,,,,,,
,,operations,2026,84580,0,0,0,0,0,0,0,0,0,0,0,84580,,84580,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Penetration Statistics,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Penetration Statistics,2026,,Sales Month,,,,,,,,,,,,,,,,,,,,,,,,,
